"perc","mult"
1,0.0125334695080693
2,0.0250689082587111
3,0.0376082876612559
4,0.0501535834647337
5,0.0627067779432138
6,0.0752698620998299
7,0.0878448378958718
8,0.10043372051147
9,0.113038540644565
10,0.125661346855074
11,0.138304207961404
12,0.150969215496777
13,0.163658486233141
14,0.176374164780861
15,0.189118426272792
16,0.201893479141851
17,0.214701568001744
18,0.227544976641149
19,0.240426031142308
20,0.2533471031358
21,0.266310613204095
22,0.279319034447454
23,0.292374896226804
24,0.305480788099397
25,0.318639363964375
26,0.331853346436817
27,0.345125531470472
28,0.358458793251194
29,0.371856089385075
30,0.385320466407568
31,0.398855065642337
32,0.412463129441405
33,0.426148007841278
34,0.439913165673234
35,0.45376219016988
36,0.467698799114508
37,0.48172684958473
38,0.495850347347453
39,0.510073456968595
40,0.524400512708041
41,0.53883603027845
42,0.553384719555673
43,0.568051498338983
44,0.582841507271216
45,0.597760126042478
46,0.612812991016627
47,0.62800601443757
48,0.643345405392917
49,0.658837692736188
50,0.674489750196082
51,0.690308823933034
52,0.706302562840088
53,0.722479051928063
54,0.738846849185214
55,0.755415026360469
56,0.772193214188685
57,0.789191652658222
58,0.80642124701824
59,0.823893630338557
60,0.841621233572914
61,0.859617364241911
62,0.877896295051229
63,0.896473364001916
64,0.915365087842814
65,0.93458929107348
66,0.954165253146195
67,0.974113877059309
68,0.994457883209753
69,1.01522203321703
70,1.03643338949379
71,1.05812161768478
72,1.08031934081496
73,1.1030625561996
74,1.1263911290388
75,1.15034938037601
76,1.17498679206609
77,1.20035885803086
78,1.22652812003661
79,1.25356543847045
80,1.2815515655446
81,1.31057911216813
82,1.34075503369022
83,1.37220380899873
84,1.40507156030963
85,1.43953147093846
86,1.47579102817917
87,1.51410188761928
88,1.55477359459685
89,1.59819313992282
90,1.64485362695147
91,1.69539771027214
92,1.75068607125217
93,1.8119106729526
94,1.88079360815125
95,1.95996398454005
96,2.05374891063182
97,2.17009037758456
98,2.32634787404084
99,2.5758293035489
